DATA,TIP TIPSTER,ora,COTA,CINE,CAMP,GAZDE,G_LOC_TOTAL,G_ZI_TOTAL,G_U1_TOTAL,G_U2_TOTAL,G_U3_TOTAL,G_U4_TOTAL,G_U5_TOTAL,OASPETI,O_LOC_TOTAL,O_ZI_TOTAL,O_U1_TOTAL,O_U2_TOTAL,O_U3_TOTAL,O_U4_TOTAL,O_U5_TOTAL,1COTA,XCOTA,2COTA,SCOR,PAUZA,G_LOC_ACASA,G_ZI_ACASA,G_U1_ACASA,G_U2_ACASA,G_U3_ACASA,G_U4_ACASA,G_U5_ACASA,O_LOC_DEPL,O_ZI_DEPL,O_U1_DEPL,O_U2_DEPL,O_U3_DEPL,O_U4_DEPL,O_U5_DEPL
20/2/2021,,15.0,2,DOMINIK RITER,CRO,ISTRA,10,I,E,I,I,I,I,VARADZIN,8.0,V,I,E,V,I,V,1.92,3.55,4.0,0.-1,0.-0,7,I,I,I,V,E,I,9.0,V,E,I,I,I,I
20/2/2021,,14.0,1,EDI SADRIA,CH1,SIGMA OLOMUT,10,V,E,I,E,V,I,ZBROJOVKA BRNO,15.0,I,E,I,V,I,E,2.08,3.35,3.65,1.-0,0.-0,9,V,I,V,I,E,E,14.0,I,I,V,E,I,I
20/2/2021,,18.45,1,ELIA YAZANDA,OL1,EMMEN,18,V,I,I,I,I,E,ZWOLE,13.0,I,I,E,E,E,V,3.25,3.55,2.17,3.-2,2.-1,18,V,I,I,I,I,I,13.0,I,I,E,V,I,V
20/2/2021,,16.0,X,FONS VERNIC,EN1,BURNLEY,15,E,E,V,E,I,I,WEST BROVICI,19.0,E,E,I,I,E,I,2.1,3.3,4.0,0.-0,0.-0,12,E,E,E,I,V,I,19.0,E,I,I,I,V,E
20/2/2021,,20.45,X,FRANCESCO GALO,IT1,SASUOLO,8,E,V,I,E,I,E,BOLOGNA,13.0,E,E,V,I,I,V,2.35,3.4,3.1,1.-1,0.-1,13,E,I,E,V,I,V,16.0,E,V,I,I,E,E
20/2/2021,,19.0,1,FREDRICH KNUDSEN,FR2,RODEZ,15,V,I,V,E,E,V,TOULOUSE,2.0,I,V,E,I,V,V,3.65,3.35,2.08,1.-0,1.-0,13,V,V,E,V,E,E,1.0,I,E,I,V,E,V
20/2/2021,,18.3,2,GASTON ROBLES,UCR,LYOV,10,I,V,E,E,I,V,KOLOS KOLIVCA,7.0,V,E,E,E,E,I,3.75,3.25,2.1,0.-2,0.-1,13,I,E,I,V,I,I,6.0,V,E,I,V,E,V
20/2/2021,,16.0,1,GIOVANI TONAER,EN4,CRAWLEY,14,V,I,I,E,I,V,COLCHESTER,18.0,I,E,E,I,E,I,2.25,3.35,3.25,1.-0,0.-0,13,V,I,I,E,E,E,20.0,I,E,E,I,I,I
20/2/2021,,13.0,X,HAIDEN ASLEI,FR1,ST ETIENNE,15,E,V,V,E,V,I,REIMS,13.0,E,E,I,E,V,V,2.2,3.05,3.7,1.-1,0.-0,15,E,V,E,I,E,E,16.0,E,I,V,I,V,E
20/2/2021,,16.0,1,HENIO ZAWADZKI,EN2,QUENS PARK,16,V,V,V,V,I,V,BOURNEMOUTH,6.0,I,V,E,V,I,I,3.1,3.35,2.33,2.-1,0.-0,16,V,V,V,I,I,E,9.0,I,E,I,I,V,I
20/2/2021,,21.0,X,HERMAN MARCEL,CO2,BOCA JUNIOR DE CALI,10,E,E,I,V,I,V,ORSOMARSO,5.0,E,I,V,E,E,V,2.2,2.9,3.5,0.-0,0.-0,15,E,I,I,E,,,8.0,E,I,E,V,,
20/2/2021,,,1,IGOR MATVEEV,CO1,ENVIGADO,16,V,E,E,I,E,E,BUCARAMANGA,10.0,I,V,I,E,E,I,2.55,2.75,3.05,1.-0,1.-0,14,V,E,E,I,,,16.0,I,I,E,I,,
20/2/2021,,14.0,2,JACOB MORTENSEN,DAN2,HOBRO,8,I,E,E,V,E,I,HELSINGOER,7.0,V,V,I,I,I,V,2.55,3.25,2.6,0.-1,0.-0,6,I,E,V,I,I,I,8.0,V,V,I,E,I,I
20/2/2021,,15.0,1,JAMES STUART,SP1,ELCHE,19,V,I,E,I,I,E,EIBAR,17.0,I,E,I,I,E,I,3.8,3.1,2.2,1.-0,1.-0,18,V,E,I,I,E,E,9.0,I,I,E,I,E,I
20/2/2021,,19.0,1,LIONELE DAVIDE,FR2,RODEZ,15,V,I,V,E,E,V,TOULOUSE,2.0,I,V,E,I,V,V,3.65,3.35,2.08,1.-0,1.-0,13,V,V,E,V,E,E,1.0,I,E,I,V,E,V
20/2/2021,,14.0,2,LUCAS MORIZ,IT2,ASCOLI,18,I,I,E,V,V,E,SALERNITANA,6.0,V,E,E,E,E,V,2.45,3.1,3.1,0.-2,0.-2,12,I,E,V,E,V,V,13.0,V,E,E,I,I,V
20/2/2021,,,1,MATEO ANTUNOVICI,GE4SW,BAHLINGER,9,V,V,I,E,V,V,BALINGEN,8.0,I,I,V,E,I,I,2.1,3.35,3.25,2.-0,2.-0,5,V,I,E,V,E,E,8.0,I,V,I,I,V,V
20/2/2021,,16.3,1,MIKAEL KESLER,POR1,BELENENSES,13,V,E,E,E,I,V,NACIONAL,10.0,I,I,V,E,V,E,2.17,3.0,3.9,2.-1,1.-1,13,V,E,E,V,I,I,12.0,I,V,E,E,I,I
20/2/2021,,19.0,1,MIKEL PEDERSEN,FR2,PARIS FC,6,V,E,I,E,E,I,CHATEAUROUX,20.0,I,I,E,V,I,E,2.0,3.35,3.95,1.-0,0.-0,6,V,E,V,E,V,E,20.0,I,E,I,I,I,E
20/2/2021,,16.0,2,NICOLAS DONALSON,MAR,MAT TETUAN,8,I,E,E,E,E,V,OLIMPIC SAFI,7.0,V,E,I,E,V,I,2.15,2.75,3.95,1.-3,1.-1,13,I,E,E,I,,,16.0,V,I,I,,,
20/2/2021,,19.3,2,NORMAN MERCURE,MAR,OUJDA,16,I,V,I,I,I,I,FAR RABAT,10.0,V,E,E,E,V,I,2.6,2.75,3.0,1.-2,1.-1,16,I,I,I,I,,,7.0,V,E,V,I,,
20/2/2021,,19.3,1,RYAN GRAY,BZCAR,AMERICA,5,V,E,I,E,E,I,AMERICANO,4.0,I,I,I,V,I,V,1.95,3.45,3.6,3.-1,1.-1,4,V,E,E,E,E,,6.0,I,I,I,I,E,
20/2/2021,,14.0,1,STEVE MASOL,TC1,DENIZLISPOR,21,V,I,E,I,V,I,GENCLERBIRLIGI,19.0,I,I,E,I,I,I,2.2,3.2,3.5,1.-0,1.-0,21,V,E,V,I,I,I,19.0,I,E,I,I,E,I
20/2/2021,,18.3,2,STEVE VORLEI,UCR,LYOV,10,I,V,E,E,I,V,KOLOS KOLIVCA,7.0,V,E,E,E,E,I,3.75,3.25,2.1,0.-2,0.-1,13,I,E,I,V,I,I,6.0,V,E,I,V,E,V
20/2/2021,,16.15,X,TILER DAN,GR1,ATROMITOS,8,E,I,I,V,E,I,LARISA,14.0,E,I,E,I,I,I,2.2,3.0,3.8,1.-1,0.-1,7,E,I,I,V,E,V,14.0,E,I,I,I,I,I
20/2/2021,,20.3,X,TOBIAS MOLNER,ELV1,BASEL,2,E,I,E,V,E,V,LAUSANE,7.0,E,V,I,I,I,E,2.25,3.55,3.05,0.-0,0.-0,2,E,E,E,I,E,I,7.0,E,I,I,E,E,V
20/2/2021,,14.0,2,TOBY SARP,IT2,ASCOLI,18,I,I,E,V,V,E,SALERNITANA,6.0,V,E,E,E,E,V,2.45,3.1,3.1,0.-2,0.-2,12,I,E,V,E,V,V,13.0,V,E,E,I,I,V
20/2/2021,,14.3,X,TOMAS KOZLOVSKI,GE4W,WIEDENBRUEK,13,E,E,I,E,E,E,AHLEN,21.0,E,E,I,E,I,V,1.95,3.45,3.6,0.-0,0.-0,15,E,E,E,I,I,E,20.0,E,E,E,E,I,E
20/2/2021,,17.0,1,TOMAS ZIGLER,EN2,HUDERSFILD,19,V,I,I,E,E,I,SWANSEA,4.0,I,V,V,V,E,I,3.55,3.15,2.2,4.-1,1.-1,9,V,I,E,I,I,V,5.0,I,V,V,V,I,V
20/2/2021,,21.0,1,VACLAV BRAIZDA,EN1,FULHAM,18,V,E,V,E,I,E,SHEFILD,20.0,I,I,I,V,I,V,2.2,3.2,3.65,1.-0,0.-0,19,V,E,I,I,I,E,20.0,I,I,I,V,I,I
20/2/2021,,14.0,X,VALDEMAR PETERSEN,TC2,ALTINORDU,8,E,V,V,V,I,E,ADANASPOR,12.0,E,E,I,V,I,V,2.05,3.5,3.25,1.-1,1.-1,8,E,V,I,E,V,I,12.0,E,I,I,V,V,I
20/2/2021,,21.0,1,VLADKO VIDATOVICI,EN1,FULHAM,18,V,E,V,E,I,E,SHEFILD,20.0,I,I,I,V,I,V,2.2,3.2,3.65,1.-0,0.-0,19,V,E,I,I,I,E,20.0,I,I,I,V,I,I
20/2/2021,,14.0,1,WALID MORAIS,GE3,HANSA ROSTOC,3,V,E,V,V,V,V,MANHEIM,9.0,I,I,I,V,V,V,2.3,3.2,3.3,1.-0,1.-0,3,V,V,V,V,I,V,7.0,I,V,V,E,E,V
20/2/2021,,21.0,1,WILI PERMERO,EN1,FULHAM,18,V,E,V,E,I,E,SHEFILD,20.0,I,I,I,V,I,V,2.2,3.2,3.65,1.-0,0.-0,19,V,E,I,I,I,E,20.0,I,I,I,V,I,I
21/2/2021,,17.15,2,ADALGISO RUSO,MAR,RAPIDE ZOUEM,12,I,V,E,E,I,I,DIFFA EL JADIDA,15.0,V,V,E,I,E,I,2.55,2.7,3.1,0.-2,0.-2,13,I,E,I,E,,,15.0,V,E,E,I,,
21/2/2021,,17.3,X,ADAM KRIZ,IT3C,JUVE STABIA,9,E,V,I,V,E,V,TERAMO,7.0,E,I,I,E,E,V,2.35,2.85,3.25,1.-1,0.-0,8,E,I,E,V,I,I,13.0,E,I,E,E,I,I
21/2/2021,,15.0,X,ANDREAS FLEICHER,IT3C,POTENZA,16,E,V,I,I,E,I,VIRTUS FRANCAVILA,11.0,E,E,I,I,V,V,2.3,2.95,3.25,0.-0,0.-0,17,E,I,E,V,I,I,10.0,E,I,V,I,V,E
21/2/2021,,15.0,X,ARIOSTO CREMONESI,MAR,BERKANE,4,E,I,V,I,V,E,CHABAB MAHOMEDIA,9.0,E,I,I,E,E,V,1.98,3.1,3.95,1.-1,0.-0,15,E,I,E,,,,9.0,E,I,E,V,,
21/2/2021,,15.0,1,BRUNO PELETIER,IT3B,AREZO,20,V,I,E,E,I,I,MATELICA,11.0,I,E,I,E,I,I,2.3,3.3,2.9,2.-0,1.-0,20,V,E,I,I,I,E,13.0,I,I,I,I,I,V
21/2/2021,,15.0,2,CRISTIAN PAROT,PO1,ZAGLEBIE,8,I,I,E,I,I,V,RACOW CRESTOCOVA,3.0,V,I,I,I,E,V,3.85,3.5,1.98,1.-2,1.-1,6,I,I,V,E,E,V,6.0,V,I,E,I,E,V
21/2/2021,,15.0,1,DOMINIK RITER,FR1,NIMES,19,V,V,I,I,I,V,BORDEAUX,11.0,I,E,I,I,I,V,3.05,3.45,2.3,2.-0,1.-0,20,V,I,I,I,I,I,15.0,I,I,I,V,E,V
21/2/2021,,15.0,1,EDI SADRIA,IT2,REGINA,15,V,E,V,V,E,E,PORDENONE,10.0,I,I,V,I,E,E,2.6,2.95,3.05,1.-0,0.-0,13,V,V,E,I,V,I,4.0,I,V,E,V,E,V
21/2/2021,,18.3,1,ELIA YAZANDA,SP1,HUESCA,20,V,I,I,V,E,I,GRANADA,9.0,I,I,E,E,I,E,2.27,3.1,2.6,3.-2,3.-1,19,V,I,E,I,I,E,18.0,I,E,I,E,I,I
21/2/2021,,15.0,1,ERIC ASHONOV,IT3C,MONOPOLI,14,V,I,V,E,I,V,CAVESE,19.0,I,I,I,V,E,V,1.8,3.35,4.35,1.-0,0.-0,15,V,V,V,E,I,I,18.0,I,I,E,E,I,I
21/2/2021,,14.0,X,FEJES VICTOR,TC1,GAZIANTEP,7,E,I,V,I,I,E,ANTALYASPOR,9.0,E,E,E,E,V,E,2.33,3.15,3.25,0.-0,0.-0,4,E,V,I,E,V,V,11.0,E,E,V,E,V,E
21/2/2021,,16.0,2,FINLAY BOWEN,POR2,ACADEMICO VIDEU,16,I,I,V,I,I,E,AROUCA,6.0,V,E,V,V,I,E,3.35,2.85,2.3,0.-4,0.-2,14,I,V,I,E,V,E,5.0,V,V,I,E,I,V
21/2/2021,,20.3,2,FONS VERNIC,IT3B,MANTOVA,10,I,E,E,I,I,I,ALMA JUVENTUS,18.0,V,I,E,V,E,E,2.1,3.25,3.35,0.-2,0.-0,11,I,E,I,V,E,I,14.0,V,E,E,V,I,E
21/2/2021,,16.0,1,FRANCESCO GALO,SP2,MALORCA,2,V,I,V,V,V,I,ALMERIA,3.0,I,I,V,E,V,E,2.05,3.25,3.5,2.-0,1.-0,8,V,I,V,I,I,V,2.0,I,I,E,I,V,V
21/2/2021,,14.3,2,FREDRICH KNUDSEN,AU1,STURM GRAZ,4,I,I,V,I,V,I,WOLFSBERGER,6.0,V,V,I,V,I,E,2.2,3.4,3.3,1.-2,1.-1,3,I,V,V,V,V,V,3.0,V,I,V,V,I,V
21/2/2021,,15.0,X,GIOVANI TONAER,IT3C,POTENZA,16,E,V,I,I,E,I,VIRTUS FRANCAVILA,11.0,E,E,I,I,V,V,2.3,2.95,3.25,0.-0,0.-0,17,E,I,E,V,I,I,10.0,E,I,V,I,V,E
21/2/2021,,17.0,1,HAIDEN ASLEI,HU1,PACSI,7,V,I,V,E,E,V,KISVARDIA,5.0,I,V,I,I,E,V,2.15,3.55,3.0,3.-0,2.-0,5,V,V,V,I,V,V,4.0,I,I,E,I,E,V
21/2/2021,,19.3,X,HENIO ZAWADZKI,MAR,MAS FES,8,E,E,I,V,E,E,HASANIA AGADIR,13.0,E,E,V,I,E,E,2.1,2.9,3.85,0.-0,0.-0,6,E,I,E,V,,,16.0,E,I,E,,,
21/2/2021,,15.0,1,HERMAN MARCEL,CRO,OSIJEK,2,V,I,V,V,V,V,RIJEKA,4.0,I,E,E,I,V,E,2.3,3.25,3.25,2.-0,1.-0,1,V,V,V,V,V,V,6.0,I,E,V,V,I,V
21/2/2021,,23.0,X,IGOR MATVEEV,CSR,GUADELUPE,7,E,V,E,E,E,E,GRECIA,5.0,E,V,I,V,E,E,2.35,3.05,3.05,1.-1,0.-0,10,E,E,E,V,,,4.0,E,V,I,E,E,
21/2/2021,,15.0,1,JACOB MORTENSEN,IT3B,AREZO,20,V,I,E,E,I,I,MATELICA,11.0,I,E,I,E,I,I,2.3,3.3,2.9,2.-0,1.-0,20,V,E,I,I,I,E,13.0,I,I,I,I,I,V
21/2/2021,,13.0,2,JAMES STUART,GE3,BAYERN MUN II,13,I,E,V,I,E,V,VICTORIA KOLN,17.0,V,I,E,I,I,E,2.15,3.65,3.2,0.-1,0.-1,12,I,V,I,V,I,E,13.0,V,I,E,E,E,I
21/2/2021,,15.0,2,MAIK HOPE,IT3B,LEGNANO SALUS,17,I,I,I,I,I,E,GUBIO,14.0,V,E,I,V,I,I,2.5,3.0,2.85,1.-2,1.-1,15,I,I,I,V,I,E,9.0,V,V,I,E,V,E
21/2/2021,,17.15,2,MARK EARNEST,MAR,RAPIDE ZOUEM,12,I,V,E,E,I,I,DIFFA EL JADIDA,15.0,V,V,E,I,E,I,2.55,2.7,3.1,0.-2,0.-2,13,I,E,I,E,,,15.0,V,E,E,I,,
21/2/2021,,15.0,1,MATEO ANTUNOVICI,IT3C,PAGANESE,18,V,E,V,I,V,I,TURIS,13.0,I,I,I,E,I,I,2.4,2.95,3.05,2.-0,1.-0,18,V,V,V,I,I,I,9.0,I,I,I,I,E,E
21/2/2021,,20.0,X,MAX STEFENS,BZ1,CORINTIANS,11,E,I,I,E,V,I,VASCO DA GAMA,17.0,E,I,I,I,E,E,2.0,3.5,,0.-0,0.-0,10,E,E,V,I,V,V,17.0,E,I,I,E,I,E
21/2/2021,,15.0,1,MIKAEL KESLER,CRO,OSIJEK,2,V,I,V,V,V,V,RIJEKA,4.0,I,E,E,I,V,E,2.3,3.25,3.25,2.-0,1.-0,1,V,V,V,V,V,V,6.0,I,E,V,V,I,V
21/2/2021,,14.0,1,MIKEL PEDERSEN,OL1,WALVIJK,15,V,V,E,E,I,I,HERACLES,11.0,I,I,V,V,E,V,3.4,3.4,2.15,3.-0,2.-0,14,V,V,I,E,I,I,12.0,I,V,E,I,V,V
21/2/2021,,19.3,X,NICOLAS DONALSON,MAR,MAS FES,8,E,E,I,V,E,E,HASANIA AGADIR,13.0,E,E,V,I,E,E,2.1,2.9,3.85,0.-0,0.-0,6,E,I,E,V,,,16.0,E,I,E,,,
21/2/2021,,14.0,X,NOAH KRUSE,TC1,GAZIANTEP,7,E,I,V,I,I,E,ANTALYASPOR,9.0,E,E,E,E,V,E,2.33,3.15,3.25,0.-0,0.-0,4,E,V,I,E,V,V,11.0,E,E,V,E,V,E
21/2/2021,,15.0,2,NORMAN MERCURE,PO1,ZAGLEBIE,8,I,I,E,I,I,V,RACOW CRESTOCOVA,3.0,V,I,I,I,E,V,3.85,3.5,1.98,1.-2,1.-1,6,I,I,V,E,E,V,6.0,V,I,E,I,E,V
21/2/2021,,13.0,X,RYAN GRAY,SE1,MLADOST LUCANI,12,E,I,E,I,I,E,VOIVODINA,3.0,E,V,E,I,V,V,4.25,3.65,1.75,1.-1,0.-1,6,E,E,E,V,E,E,3.0,E,E,V,V,E,V
21/2/2021,,19.3,X,STEVE MASOL,MAR,MAS FES,8,E,E,I,V,E,E,HASANIA AGADIR,13.0,E,E,V,I,E,E,2.1,2.9,3.85,0.-0,0.-0,6,E,I,E,V,,,16.0,E,I,E,,,
21/2/2021,,15.0,X,TILER DAN,IT3C,VITERBESE,12,E,I,V,V,V,I,VIBONESE,15.0,E,I,I,I,I,E,2.45,2.75,3.2,0.-0,0.-0,16,E,V,V,I,V,E,15.0,E,I,I,I,E,I
21/2/2021,,15.0,1,TOBIAS MOLNER,IT3C,PAGANESE,18,V,E,V,I,V,I,TURIS,13.0,I,I,I,E,I,I,2.4,2.95,3.05,2.-0,1.-0,18,V,V,V,I,I,I,9.0,I,I,I,I,E,E
21/2/2021,,20.0,X,TOBIAS PEDERSEN,BZ1,CORINTIANS,11,E,I,I,E,V,I,VASCO DA GAMA,17.0,E,I,I,I,E,E,2.0,3.5,,0.-0,0.-0,10,E,E,V,I,V,V,17.0,E,I,I,E,I,E
21/2/2021,,14.0,1,TOBY SARP,OL1,WALVIJK,15,V,V,E,E,I,I,HERACLES,11.0,I,I,V,V,E,V,3.4,3.4,2.15,3.-0,2.-0,14,V,V,I,E,I,I,12.0,I,V,E,I,V,V
21/2/2021,,15.0,2,TOMAS KOZLOVSKI,IT3C,FOGIA,6,I,I,I,V,E,V,TERNANA,1.0,V,V,V,E,V,V,3.85,3.55,1.85,0.-2,0.-1,9,I,I,E,V,E,V,1.0,V,E,V,V,V,V
21/2/2021,,15.0,2,TOMAS ZIGLER,IT3A,PIACENZA,13,I,V,V,E,V,I,LECCO,5.0,V,E,V,V,E,V,2.6,2.95,2.8,0.-1,0.-0,11,I,V,E,I,E,E,12.0,V,V,E,E,E,I
21/2/2021,,15.0,1,VACLAV BRAIZDA,CRO,OSIJEK,2,V,I,V,V,V,V,RIJEKA,4.0,I,E,E,I,V,E,2.3,3.25,3.25,2.-0,1.-0,1,V,V,V,V,V,V,6.0,I,E,V,V,I,V
22/2/2021,,17.3,X,ADALGISO RUSO,RO1,UTA,9,E,E,E,V,I,V,BOTOSANI,5.0,E,V,V,V,V,I,4.0,3.2,2.05,0.-0,0.-0,16,E,E,I,I,E,I,6.0,E,V,I,V,V,E
22/2/2021,,19.0,1,ANDREAS FLEICHER,GE3,WEHEN,6,V,V,V,V,E,E,UERDINGEN,16.0,I,V,E,E,I,V,2.05,3.35,3.75,3.-1,3.-1,6,V,V,E,E,V,V,10.0,I,V,E,V,E,E
22/2/2021,,17.3,X,ARIOSTO CREMONESI,BG1,TARSCO SELO,9,E,I,I,E,V,I,BOTEV PLOVDIV,12.0,E,I,I,I,I,E,2.4,3.0,3.0,2.-2,1.-0,12,E,I,E,I,V,I,14.0,E,I,I,E,I,I
22/2/2021,,21.0,2,BRUNO PELETIER,SP1,OSASUNA,13,I,V,V,I,V,E,SEVILIA,4.0,V,V,V,V,V,V,4.3,3.25,2.0,0.-2,0.-1,14,I,V,V,E,E,I,5.0,V,V,V,I,E,V
22/2/2021,,21.0,2,CAYDEN MILER,SP2,REAL ZARAGOZA,17,I,E,V,V,I,V,ALCORCORN,21.0,V,V,I,I,I,E,2.2,2.95,3.45,0.-1,0.-0,12,I,V,V,V,V,I,20.0,V,I,E,I,E,E
22/2/2021,,19.0,1,CRISTIAN PAROT,GE3,WEHEN,6,V,V,V,V,E,E,UERDINGEN,16.0,I,V,E,E,I,V,2.05,3.35,3.75,3.-1,3.-1,6,V,V,E,E,V,V,10.0,I,V,E,V,E,E
22/2/2021,,19.0,X,DIRK PETERS,SP2,FUELAMBRADA,12,E,V,E,E,E,I,REAL OVIEDO,15.0,E,V,I,I,E,E,2.8,2.85,2.65,2.-2,0.-1,19,E,E,E,E,I,I,12.0,E,I,E,E,I,V
22/2/2021,,15.0,2,DOMINIK RITER,SE1,MACVA SABAC,18,I,V,I,V,I,I,RADNICHI NIS,10.0,V,I,I,E,V,V,3.4,3.2,2.1,0.-2,0.-1,18,I,V,I,V,V,I,11.0,V,I,E,V,V,I
22/2/2021,,20.3,1,EDI SADRIA,GE2,GREUTER FURT,4,V,E,V,V,V,E,HOLSTEIN KIEL,3.0,I,V,V,V,E,V,2.5,3.4,2.8,2.-1,1.-1,9,V,V,V,E,V,I,1.0,I,V,E,V,E,V
22/2/2021,,20.3,1,ELIA YAZANDA,GE2,GREUTER FURT,4,V,E,V,V,V,E,HOLSTEIN KIEL,3.0,I,V,V,V,E,V,2.5,3.4,2.8,2.-1,1.-1,9,V,V,V,E,V,I,1.0,I,V,E,V,E,V
22/2/2021,,21.0,2,ERIC ASHONOV,SP2,REAL ZARAGOZA,17,I,E,V,V,I,V,ALCORCORN,21.0,V,V,I,I,I,E,2.2,2.95,3.45,0.-1,0.-0,12,I,V,V,V,V,I,20.0,V,I,E,I,E,E
22/2/2021,,19.0,X,FEJES VICTOR,SP2,FUELAMBRADA,12,E,V,E,E,E,I,REAL OVIEDO,15.0,E,V,I,I,E,E,2.8,2.85,2.65,2.-2,0.-1,19,E,E,E,E,I,I,12.0,E,I,E,E,I,V
22/2/2021,,20.0,1,FINLAY BOWEN,CO2,BOGOTA,15,V,I,I,V,E,I,LLANEROS,13.0,I,E,I,I,E,I,2.55,3.0,2.8,2.-1,1.-1,12,V,I,V,I,,,9.0,I,I,E,V,,
22/2/2021,,21.0,2,FONS VERNIC,SP1,OSASUNA,13,I,V,V,I,V,E,SEVILIA,4.0,V,V,V,V,V,V,4.3,3.25,2.0,0.-2,0.-1,14,I,V,V,E,E,I,5.0,V,V,V,I,E,V
22/2/2021,,21.0,2,FRANCESCO GALO,SP1,OSASUNA,13,I,V,V,I,V,E,SEVILIA,4.0,V,V,V,V,V,V,4.3,3.25,2.0,0.-2,0.-1,14,I,V,V,E,E,I,5.0,V,V,V,I,E,V
22/2/2021,,17.3,X,GEORGE DAVIS,RO1,UTA,9,E,E,E,V,I,V,BOTOSANI,5.0,E,V,V,V,V,I,4.0,3.2,2.05,0.-0,0.-0,16,E,E,I,I,E,I,6.0,E,V,I,V,V,E
22/2/2021,,20.3,1,GIOVANI TONAER,GE2,GREUTER FURT,4,V,E,V,V,V,E,HOLSTEIN KIEL,3.0,I,V,V,V,E,V,2.5,3.4,2.8,2.-1,1.-1,9,V,V,V,E,V,I,1.0,I,V,E,V,E,V
22/2/2021,,17.3,X,HAIDEN ASLEI,RO1,UTA,9,E,E,E,V,I,V,BOTOSANI,5.0,E,V,V,V,V,I,4.0,3.2,2.05,0.-0,0.-0,16,E,E,I,I,E,I,6.0,E,V,I,V,V,E
22/2/2021,,22.0,1,HENIO ZAWADZKI,POR2,FEIRENSE,3,V,V,V,V,E,V,ACADEMICA,2.0,I,V,V,V,E,E,2.4,2.95,3.05,1.-0,0.-0,4,V,V,V,I,V,V,4.0,I,V,E,V,I,V
22/2/2021,,20.0,1,HERMAN MARCEL,CO2,BOGOTA,15,V,I,I,V,E,I,LLANEROS,13.0,I,E,I,I,E,I,2.55,3.0,2.8,2.-1,1.-1,12,V,I,V,I,,,9.0,I,I,E,V,,
22/2/2021,,18.0,2,IGOR MATVEEV,UCR,OLIMPIK DONETK,8,I,I,E,V,I,E,DNEPRO,12.0,V,V,I,I,I,I,3.05,3.4,2.33,0.-2,0.-0,8,I,E,V,E,I,I,11.0,V,I,I,I,V,I
22/2/2021,,20.45,X,JACOB MORTENSEN,FR2,GUENGAMP,17,E,E,E,I,I,E,CAEN,11.0,E,V,E,E,I,I,2.3,3.2,3.3,2.-2,0.-1,19,E,E,I,E,E,E,15.0,E,E,I,I,E,V
22/2/2021,,20.3,1,JAMES STUART,GE2,GREUTER FURT,4,V,E,V,V,V,E,HOLSTEIN KIEL,3.0,I,V,V,V,E,V,2.5,3.4,2.8,2.-1,1.-1,9,V,V,V,E,V,I,1.0,I,V,E,V,E,V
22/2/2021,,21.0,2,KRISTIAN HOOVER,SP1,OSASUNA,13,I,V,V,I,V,E,SEVILIA,4.0,V,V,V,V,V,V,4.3,3.25,2.0,0.-2,0.-1,14,I,V,V,E,E,I,5.0,V,V,V,I,E,V
22/2/2021,,14.1,2,LIONELE DAVIDE,AS,ABHA,11,I,I,I,V,I,E,AL RAED,14.0,V,I,I,I,V,V,3.05,3.6,2.1,0.-3,0.-3,10,I,I,I,E,V,I,11.0,V,I,V,E,E,I
22/2/2021,,17.3,X,LUCAS MORIZ,RO1,UTA,9,E,E,E,V,I,V,BOTOSANI,5.0,E,V,V,V,V,I,4.0,3.2,2.05,0.-0,0.-0,16,E,E,I,I,E,I,6.0,E,V,I,V,V,E
22/2/2021,,20.3,1,MAIK HOPE,GE2,GREUTER FURT,4,V,E,V,V,V,E,HOLSTEIN KIEL,3.0,I,V,V,V,E,V,2.5,3.4,2.8,2.-1,1.-1,9,V,V,V,E,V,I,1.0,I,V,E,V,E,V
22/2/2021,,18.0,2,MATEO ANTUNOVICI,UCR,OLIMPIK DONETK,8,I,I,E,V,I,E,DNEPRO,12.0,V,V,I,I,I,I,3.05,3.4,2.33,0.-2,0.-0,8,I,E,V,E,I,I,11.0,V,I,I,I,V,I
22/2/2021,,18.45,2,MIKAEL KESLER,OL2,YOUNG ALKMAR,18,I,V,I,V,E,I,GO AHED EAGLES,5.0,V,V,V,I,V,V,3.65,3.95,1.9,0.-3,0.-1,17,I,V,V,I,I,E,3.0,V,V,V,V,V,V
22/2/2021,,21.0,2,NICOLAS DONALSON,SP2,REAL ZARAGOZA,17,I,E,V,V,I,V,ALCORCORN,21.0,V,V,I,I,I,E,2.2,2.95,3.45,0.-1,0.-0,12,I,V,V,V,V,I,20.0,V,I,E,I,E,E
22/2/2021,,14.1,2,NOAH KRUSE,AS,ABHA,11,I,I,I,V,I,E,AL RAED,14.0,V,I,I,I,V,V,3.05,3.6,2.1,0.-3,0.-3,10,I,I,I,E,V,I,11.0,V,I,V,E,E,I
22/2/2021,,18.45,2,NORMAN MERCURE,OL2,YOUNG ALKMAR,18,I,V,I,V,E,I,GO AHED EAGLES,5.0,V,V,V,I,V,V,3.65,3.95,1.9,0.-3,0.-1,17,I,V,V,I,I,E,3.0,V,V,V,V,V,V
22/2/2021,,18.35,1,RENZO TREVISANO,AS,AL SABAB,1,V,I,V,V,V,V,AL AHLI,3.0,I,E,E,V,E,V,2.0,3.65,3.25,3.-0,1.-0,2,V,I,V,E,V,V,2.0,I,V,V,I,V,V
